entity:sample_id	participant	bam	bamIndex	cellBarcode	vcf	vcfIndex	fasta	fastaIndex	output	snv_loci
su001_post_Stromal	su001	gs://stanford-sc-rnaseq-bcc/merged_bams/su001_post_Stromal.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su001_post_Stromal.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su001_post_RNA_barcodes_Stromal.tsv						
su001_pre_Immune	su001	gs://stanford-sc-rnaseq-bcc/merged_bams/su001_pre_Immune.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su001_pre_Immune.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su001_pre_RNA_barcodes_Immune.tsv						
su001_pre_Malignant	su001	gs://stanford-sc-rnaseq-bcc/merged_bams/su001_pre_Malignant.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su001_pre_Malignant.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su001_pre_RNA_barcodes_Malignant.tsv						
su001_pre_Stromal	su001	gs://stanford-sc-rnaseq-bcc/merged_bams/su001_pre_Stromal.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su001_pre_Stromal.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su001_pre_RNA_barcodes_Stromal.tsv						
su002_post_Immune	su002	gs://stanford-sc-rnaseq-bcc/merged_bams/su002_post_Immune.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su002_post_Immune.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su002_post_RNA_barcodes_Immune.tsv						
su002_post_Stromal	su002	gs://stanford-sc-rnaseq-bcc/merged_bams/su002_post_Stromal.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su002_post_Stromal.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su002_post_RNA_barcodes_Stromal.tsv						
su002_pre_Immune	su002	gs://stanford-sc-rnaseq-bcc/merged_bams/su002_pre_Immune.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su002_pre_Immune.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su002_pre_RNA_barcodes_Immune.tsv						
su002_pre_Malignant	su002	gs://stanford-sc-rnaseq-bcc/merged_bams/su002_pre_Malignant.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su002_pre_Malignant.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su002_pre_RNA_barcodes_Malignant.tsv						
su002_pre_Stromal	su002	gs://stanford-sc-rnaseq-bcc/merged_bams/su002_pre_Stromal.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su002_pre_Stromal.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su002_pre_RNA_barcodes_Stromal.tsv						
su003_post_Immune	su003	gs://stanford-sc-rnaseq-bcc/merged_bams/su003_post_Immune.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su003_post_Immune.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su003_post_RNA_barcodes_Immune.tsv						
su003_post_Malignant	su003	gs://stanford-sc-rnaseq-bcc/merged_bams/su003_post_Malignant.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su003_post_Malignant.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su003_post_RNA_barcodes_Malignant.tsv						
su003_post_Stromal	su003	gs://stanford-sc-rnaseq-bcc/merged_bams/su003_post_Stromal.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su003_post_Stromal.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su003_post_RNA_barcodes_Stromal.tsv						
su003_pre_Immune	su003	gs://stanford-sc-rnaseq-bcc/merged_bams/su003_pre_Immune.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su003_pre_Immune.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su003_pre_RNA_barcodes_Immune.tsv						
su003_pre_Malignant	su003	gs://stanford-sc-rnaseq-bcc/merged_bams/su003_pre_Malignant.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su003_pre_Malignant.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su003_pre_RNA_barcodes_Malignant.tsv						
su003_pre_Stromal	su003	gs://stanford-sc-rnaseq-bcc/merged_bams/su003_pre_Stromal.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su003_pre_Stromal.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su003_pre_RNA_barcodes_Stromal.tsv						
su004_post_Immune	su004	gs://stanford-sc-rnaseq-bcc/merged_bams/su004_post_Immune.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su004_post_Immune.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su004_post_RNA_barcodes_Immune.tsv						
su004_post_Malignant	su004	gs://stanford-sc-rnaseq-bcc/merged_bams/su004_post_Malignant.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su004_post_Malignant.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su004_post_RNA_barcodes_Malignant.tsv						
su004_post_Stromal	su004	gs://stanford-sc-rnaseq-bcc/merged_bams/su004_post_Stromal.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su004_post_Stromal.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su004_post_RNA_barcodes_Stromal.tsv						
su004_pre_Immune	su004	gs://stanford-sc-rnaseq-bcc/merged_bams/su004_pre_Immune.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su004_pre_Immune.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su004_pre_RNA_barcodes_Immune.tsv						
su004_pre_Malignant	su004	gs://stanford-sc-rnaseq-bcc/merged_bams/su004_pre_Malignant.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su004_pre_Malignant.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su004_pre_RNA_barcodes_Malignant.tsv						
su004_pre_Stromal	su004	gs://stanford-sc-rnaseq-bcc/merged_bams/su004_pre_Stromal.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su004_pre_Stromal.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su004_pre_RNA_barcodes_Stromal.tsv						
su005_post_Immune	su005	gs://stanford-sc-rnaseq-bcc/merged_bams/su005_post_Immune.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su005_post_Immune.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su005_post_RNA_barcodes_Immune.tsv						
